"site","sensor_number","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","temp_hobo_c"
"Alegria",4,2021-06-19 12:00:00,"06/19/2021","12:00:00",16.02111181,8.249411168,0.920961,16.8166666666667,NA
"Alegria",4,2021-06-19 12:15:00,"06/19/2021","12:15:00",16.05938658,8.218578634,0.962344,16.8055555555556,NA
"Alegria",4,2021-06-19 12:30:00,"06/19/2021","12:30:00",16.11607517,8.234492398,1.028669,16.8666666666667,NA
"Alegria",4,2021-06-19 12:45:00,"06/19/2021","12:45:00",16.14359124,8.214484136,1.119428,16.8666666666667,NA
"Alegria",4,2021-06-19 13:00:00,"06/19/2021","13:00:00",16.11831243,8.190765621,1.23406,16.7833333333333,NA
"Alegria",4,2021-06-19 13:15:00,"06/19/2021","13:15:00",16.13007161,8.181201086,1.371351,16.8055555555556,NA
"Alegria",4,2021-06-19 13:30:00,"06/19/2021","13:30:00",16.13635515,8.167241899,1.529639,16.8055555555556,NA
"Alegria",4,2021-06-19 13:45:00,"06/19/2021","13:45:00",16.20053163,8.154556829,1.707475,16.9222222222222,NA
"Alegria",4,2021-06-19 14:00:00,"06/19/2021","14:00:00",16.11409671,8.145705243,1.902585,16.7944444444444,NA
"Alegria",4,2021-06-19 14:15:00,"06/19/2021","14:15:00",16.03721763,8.160604749,2.112342,16.6555555555556,NA
"Alegria",4,2021-06-19 14:30:00,"06/19/2021","14:30:00",16.07392955,8.164833318,2.334589,16.7388888888889,NA
"Alegria",4,2021-06-19 14:45:00,"06/19/2021","14:45:00",16.00861108,8.150372935,2.566264,16.6444444444444,NA
"Alegria",4,2021-06-19 15:00:00,"06/19/2021","15:00:00",16.03725701,8.148543736,2.804097,16.6833333333333,NA
"Alegria",4,2021-06-19 15:15:00,"06/19/2021","15:15:00",16.01792435,8.159721579,3.045493,16.6833333333333,NA
"Alegria",4,2021-06-19 15:30:00,"06/19/2021","15:30:00",16.05716087,8.139679677,3.286985,16.75,NA
"Alegria",4,2021-06-19 15:45:00,"06/19/2021","15:45:00",16.06497678,8.148727783,3.525068,16.7277777777778,NA
"Alegria",4,2021-06-19 16:00:00,"06/19/2021","16:00:00",16.04382371,8.162947128,3.75705,16.7055555555556,NA
"Alegria",4,2021-06-19 16:15:00,"06/19/2021","16:15:00",16.05357832,8.154199934,3.979254,16.6944444444444,NA
"Alegria",4,2021-06-19 16:30:00,"06/19/2021","16:30:00",16.05008155,8.185462611,4.189119,16.6833333333333,NA
"Alegria",4,2021-06-19 16:45:00,"06/19/2021","16:45:00",16.01962045,8.188106404,4.383483,16.6444444444444,NA
"Alegria",4,2021-06-19 17:00:00,"06/19/2021","17:00:00",16.11119746,8.139390868,4.559445,16.8055555555556,NA
"Alegria",4,2021-06-19 17:15:00,"06/19/2021","17:15:00",16.13058708,8.147405933,4.714922,16.8166666666667,NA
"Alegria",4,2021-06-19 17:30:00,"06/19/2021","17:30:00",16.24519313,8.116991108,4.847503,16.9444444444444,NA
"Alegria",4,2021-06-19 17:45:00,"06/19/2021","17:45:00",16.2594872,8.123961536,4.955183,16.9444444444444,NA
"Alegria",4,2021-06-19 18:00:00,"06/19/2021","18:00:00",16.35293096,8.098115307,5.036641,17.0388888888889,NA
"Alegria",4,2021-06-19 18:15:00,"06/19/2021","18:15:00",16.40280276,8.085484364,5.090541,17.1055555555556,NA
"Alegria",4,2021-06-19 18:30:00,"06/19/2021","18:30:00",16.47048912,8.083522449,5.116049,17.1666666666667,NA
"Alegria",4,2021-06-19 18:45:00,"06/19/2021","18:45:00",16.53092713,8.071986604,5.112697,17.2444444444444,NA
